(pc,x,y,z,f)
983:(11,2,1,3,1)
984:(11,2,2,1,1)
985:(11,2,2,2,1)
986:(11,2,2,3,1)
987:(11,2,3,1,1)
988:(11,2,3,2,1)
989:(11,2,3,3,1)
990:(11,2,4,1,1)
991:(11,2,4,2,1)
992:(11,2,4,3,1)
993:(11,2,5,1,1)
994:(11,2,5,2,1)
995:(11,2,5,3,1)
996:(11,2,6,1,1)
997:(11,2,6,2,1)
998:(11,2,6,3,1)
999:(11,3,1,1,1)
1000:(11,3,1,2,1)
1001:(11,3,1,3,1)
1002:(11,3,2,1,1)
1003:(11,3,2,2,1)
1004:(11,3,2,3,1)
1005:(11,3,3,1,1)
1006:(11,3,3,2,1)
1007:(11,3,3,3,1)
1008:(11,3,4,1,1)
1009:(11,3,4,2,1)
1010:(11,3,4,3,1)
1011:(11,3,5,1,1)
1012:(11,3,5,2,1)
1013:(11,3,5,3,1)
1014:(11,3,6,1,1)
1015:(11,3,6,2,1)
1016:(11,3,6,3,1)
1017:(11,4,1,1,1)
1018:(11,4,1,2,1)
1019:(11,4,1,3,1)
1020:(11,4,2,1,1)
1021:(11,4,2,2,1)
1022:(11,4,2,3,1)
1023:(11,4,3,1,1)
1024:(11,4,3,2,1)
1025:(11,4,3,3,1)
1026:(11,4,4,1,1)
1027:(11,4,4,2,1)
1028:(11,4,4,3,1)
1029:(11,4,5,1,1)
1030:(11,4,5,2,1)
1031:(11,4,5,3,1)
1032:(11,4,6,1,1)
1033:(11,4,6,2,1)
1034:(11,4,6,3,1)
1035:(11,5,1,1,1)
1036:(11,5,1,2,1)
1037:(11,5,1,3,1)
1038:(11,5,2,1,1)
1039:(11,5,2,2,1)
1040:(11,5,2,3,1)
1041:(11,5,3,1,1)
1042:(11,5,3,2,1)
1043:(11,5,3,3,1)
1044:(11,5,4,1,1)
1045:(11,5,4,2,1)
1046:(11,5,4,3,1)
1047:(11,5,5,1,1)
1048:(11,5,5,2,1)
1049:(11,5,5,3,1)
1050:(11,5,6,1,1)
1051:(11,5,6,2,1)
1052:(11,5,6,3,1)
1053:(11,6,1,1,1)
1054:(11,6,1,2,1)
1055:(11,6,1,3,1)
1056:(11,6,2,1,1)
1057:(11,6,2,2,1)
1058:(11,6,2,3,1)
1059:(11,6,3,1,1)
1060:(11,6,3,2,1)
1061:(11,6,3,3,1)
1062:(11,6,4,1,1)
1063:(11,6,4,2,1)
1064:(11,6,4,3,1)
1065:(11,6,5,1,1)
1066:(11,6,5,2,1)
1067:(11,6,5,3,1)
1068:(11,6,6,1,1)
1069:(11,6,6,2,1)
1070:(11,6,6,3,1)
1071:(11,7,1,2,1)
1072:(11,7,1,3,1)
1073:(11,7,2,2,1)
1074:(11,7,2,3,1)
1075:(11,7,3,2,1)
1076:(11,7,3,3,1)
1077:(11,7,4,2,1)
1078:(11,7,4,3,1)
1079:(11,7,5,2,1)
1080:(11,7,5,3,1)
1081:(11,7,6,2,1)
1082:(11,7,6,3,1)
1083:(11,8,1,3,1)
1084:(11,8,2,3,1)
1085:(11,8,3,3,1)
1086:(11,8,4,3,1)
1087:(11,8,5,3,1)
1088:(11,8,6,3,1)
1089:(12,-2,-1,1,0)
1090:(12,-2,-1,2,0)
1091:(12,-2,-1,3,0)
1092:(12,-2,0,1,0)
1093:(12,-2,0,2,0)
1094:(12,-2,0,3,0)
1095:(12,-2,1,1,0)
1096:(12,-2,1,2,0)
1097:(12,-2,1,3,0)
1098:(12,-2,2,1,0)
1099:(12,-2,2,2,0)
1100:(12,-2,2,3,0)
1101:(12,-2,3,1,0)
1102:(12,-2,3,2,0)
1103:(12,-2,3,3,0)
1104:(12,-2,4,1,0)
1105:(12,-2,4,2,0)
1106:(12,-2,4,3,0)
1107:(12,-1,-1,1,0)
1108:(12,-1,-1,2,0)
1109:(12,-1,-1,3,0)
1110:(12,-1,0,0,0)
1111:(12,-1,0,1,0)
1112:(12,-1,0,2,0)
1113:(12,-1,0,3,0)
1114:(12,-1,1,1,0)
1115:(12,-1,1,2,0)
1116:(12,-1,1,3,0)
1117:(12,-1,2,1,0)
1118:(12,-1,2,2,0)
1119:(12,-1,2,3,0)
1120:(12,-1,3,1,0)
1121:(12,-1,3,2,0)
1122:(12,-1,3,3,0)
1123:(12,-1,4,1,0)
1124:(12,-1,4,2,0)
1125:(12,-1,4,3,0)
1126:(12,0,-1,1,0)
1127:(12,0,-1,2,0)
1128:(12,0,-1,3,0)
1129:(12,0,0,1,0)
1130:(12,0,0,2,0)
1131:(12,0,0,3,0)
1132:(12,0,1,1,0)
1133:(12,0,1,2,0)
1134:(12,0,1,3,0)
1135:(12,0,2,1,0)
1136:(12,0,2,2,0)
1137:(12,0,2,3,0)
1138:(12,0,3,1,0)
1139:(12,0,3,2,0)
1140:(12,0,3,3,0)
1141:(12,0,4,1,0)
1142:(12,0,4,2,0)
1143:(12,0,4,3,0)
1144:(12,1,-1,1,0)
1145:(12,1,-1,2,0)
1146:(12,1,-1,3,0)
1147:(12,1,0,1,0)
1148:(12,1,0,2,0)
1149:(12,1,0,3,0)
1150:(12,1,1,1,0)
1151:(12,1,1,2,0)
1152:(12,1,1,3,0)
1153:(12,1,2,1,0)
1154:(12,1,2,2,0)
1155:(12,1,2,3,0)
1156:(12,1,3,1,0)
1157:(12,1,3,2,0)
1158:(12,1,3,3,0)
1159:(12,1,4,1,0)
1160:(12,1,4,2,0)
1161:(12,1,4,3,0)
1162:(12,2,-1,1,0)
1163:(12,2,-1,2,0)
1164:(12,2,-1,3,0)
1165:(12,2,0,1,0)
1166:(12,2,0,2,0)
1167:(12,2,0,3,0)
1168:(12,2,1,1,0)
1169:(12,2,1,2,0)
1170:(12,2,1,3,0)
1171:(12,2,2,1,0)
1172:(12,2,2,2,0)
1173:(12,2,2,3,0)
1174:(12,2,3,1,0)
1175:(12,2,3,2,0)
1176:(12,2,3,3,0)
1177:(12,2,4,1,0)
1178:(12,2,4,2,0)
1179:(12,2,4,3,0)
1180:(12,3,-1,1,0)
1181:(12,3,-1,2,0)
1182:(12,3,-1,3,0)
1183:(12,3,0,1,0)
1184:(12,3,0,2,0)
1185:(12,3,0,3,0)
1186:(12,3,1,1,0)
1187:(12,3,1,2,0)
1188:(12,3,1,3,0)
1189:(12,3,2,1,0)
1190:(12,3,2,2,0)
1191:(12,3,2,3,0)
1192:(12,3,3,1,0)
1193:(12,3,3,2,0)
1194:(12,3,3,3,0)
1195:(12,3,4,1,0)
1196:(12,3,4,2,0)
1197:(12,3,4,3,0)
1198:(12,4,-1,1,0)
1199:(12,4,-1,2,0)
1200:(12,4,-1,3,0)
1201:(12,4,0,1,0)
1202:(12,4,0,2,0)
1203:(12,4,0,3,0)
1204:(12,4,1,1,0)
1205:(12,4,1,2,0)
1206:(12,4,1,3,0)
1207:(12,4,2,1,0)
1208:(12,4,2,2,0)
1209:(12,4,2,3,0)
1210:(12,4,3,1,0)
1211:(12,4,3,2,0)
1212:(12,4,3,3,0)
1213:(12,4,4,1,0)
1214:(12,4,4,2,0)
1215:(12,4,4,3,0)
1216:(12,5,-1,1,0)
1217:(12,5,-1,2,0)
1218:(12,5,-1,3,0)
1219:(12,5,0,1,0)
1220:(12,5,0,2,0)
1221:(12,5,0,3,0)
1222:(12,5,1,1,0)
1223:(12,5,1,2,0)
1224:(12,5,1,3,0)
1225:(12,5,2,1,0)
1226:(12,5,2,2,0)
1227:(12,5,2,3,0)
1228:(12,5,3,1,0)
1229:(12,5,3,2,0)
1230:(12,5,3,3,0)
1231:(12,5,4,1,0)
1232:(12,5,4,2,0)
1233:(12,5,4,3,0)
1234:(12,6,-1,1,0)
1235:(12,6,-1,2,0)
1236:(12,6,-1,3,0)
1237:(12,6,0,1,0)
1238:(12,6,0,2,0)
1239:(12,6,0,3,0)
1240:(12,6,1,1,0)
1241:(12,6,1,2,0)
1242:(12,6,1,3,0)
1243:(12,6,2,1,0)
1244:(12,6,2,2,0)
1245:(12,6,2,3,0)
1246:(12,6,3,1,0)
1247:(12,6,3,2,0)
1248:(12,6,3,3,0)
1249:(12,6,4,1,0)
1250:(12,6,4,2,0)
1251:(12,6,4,3,0)
1252:(12,7,-1,2,0)
1253:(12,7,-1,3,0)
1254:(12,7,0,2,0)
1255:(12,7,0,3,0)
1256:(12,7,1,2,0)
1257:(12,7,1,3,0)
1258:(12,7,2,2,0)
1259:(12,7,2,3,0)
1260:(12,7,3,2,0)
1261:(12,7,3,3,0)
1262:(12,7,4,2,0)
1263:(12,7,4,3,0)
1264:(12,8,-1,3,0)
1265:(12,8,0,3,0)
1266:(12,8,1,3,0)
1267:(12,8,2,3,0)
1268:(12,8,3,3,0)
1269:(12,8,4,3,0)
1270:(13,-2,-1,1,0)
1271:(13,-2,-1,2,0)
1272:(13,-2,-1,3,0)
1273:(13,-2,0,1,0)
1274:(13,-2,0,2,0)
1275:(13,-2,0,3,0)
1276:(13,-2,1,1,0)
1277:(13,-2,1,1,1)
1278:(13,-2,1,2,0)
1279:(13,-2,1,2,1)
1280:(13,-2,1,3,0)
1281:(13,-2,1,3,1)
1282:(13,-2,2,1,0)
1283:(13,-2,2,1,1)
1284:(13,-2,2,2,0)
1285:(13,-2,2,2,1)
1286:(13,-2,2,3,0)
1287:(13,-2,2,3,1)
1288:(13,-2,3,1,0)
1289:(13,-2,3,1,1)
1290:(13,-2,3,2,0)
1291:(13,-2,3,2,1)
1292:(13,-2,3,3,0)
1293:(13,-2,3,3,1)
1294:(13,-2,4,1,0)
1295:(13,-2,4,1,1)
1296:(13,-2,4,2,0)
1297:(13,-2,4,2,1)
1298:(13,-2,4,3,0)
1299:(13,-2,4,3,1)
1300:(13,-2,5,1,1)
1301:(13,-2,5,2,1)
1302:(13,-2,5,3,1)
1303:(13,-2,6,1,1)
1304:(13,-2,6,2,1)
1305:(13,-2,6,3,1)
1306:(13,-1,-1,1,0)
1307:(13,-1,-1,2,0)
1308:(13,-1,-1,3,0)
1309:(13,-1,0,0,0)
1310:(13,-1,0,1,0)
1311:(13,-1,0,2,0)
1312:(13,-1,0,3,0)
1313:(13,-1,1,1,0)
1314:(13,-1,1,1,1)
1315:(13,-1,1,2,0)
1316:(13,-1,1,2,1)
1317:(13,-1,1,3,0)
1318:(13,-1,1,3,1)
1319:(13,-1,2,0,1)
1320:(13,-1,2,1,0)
1321:(13,-1,2,1,1)
1322:(13,-1,2,2,0)
1323:(13,-1,2,2,1)
1324:(13,-1,2,3,0)
1325:(13,-1,2,3,1)
1326:(13,-1,3,1,0)
1327:(13,-1,3,1,1)
1328:(13,-1,3,2,0)
1329:(13,-1,3,2,1)
1330:(13,-1,3,3,0)
1331:(13,-1,3,3,1)
1332:(13,-1,4,1,0)
1333:(13,-1,4,1,1)
1334:(13,-1,4,2,0)
1335:(13,-1,4,2,1)
1336:(13,-1,4,3,0)
1337:(13,-1,4,3,1)
1338:(13,-1,5,1,1)
1339:(13,-1,5,2,1)
1340:(13,-1,5,3,1)
1341:(13,-1,6,1,1)
1342:(13,-1,6,2,1)
1343:(13,-1,6,3,1)
1344:(13,0,-1,1,0)
1345:(13,0,-1,2,0)
1346:(13,0,-1,3,0)
1347:(13,0,6,1,1)
1348:(13,0,6,2,1)
1349:(13,0,6,3,1)
1350:(13,1,-1,1,0)
1351:(13,1,-1,2,0)
1352:(13,1,-1,3,0)
1353:(13,1,6,1,1)
1354:(13,1,6,2,1)
1355:(13,1,6,3,1)
1356:(13,2,-1,1,0)
1357:(13,2,-1,2,0)
1358:(13,2,-1,3,0)
1359:(13,2,6,1,1)
1360:(13,2,6,2,1)
1361:(13,2,6,3,1)
1362:(13,3,-1,1,0)
1363:(13,3,-1,2,0)
1364:(13,3,-1,3,0)
1365:(13,3,6,1,1)
1366:(13,3,6,2,1)
1367:(13,3,6,3,1)
1368:(13,4,-1,1,0)
1369:(13,4,-1,2,0)
1370:(13,4,-1,3,0)
1371:(13,4,6,1,1)
1372:(13,4,6,2,1)
1373:(13,4,6,3,1)
1374:(13,5,-1,1,0)
1375:(13,5,-1,2,0)
1376:(13,5,-1,3,0)
1377:(13,5,6,1,1)
1378:(13,5,6,2,1)
1379:(13,5,6,3,1)
1380:(13,6,-1,1,0)
1381:(13,6,-1,2,0)
1382:(13,6,-1,3,0)
1383:(13,6,0,1,0)
1384:(13,6,0,2,0)
1385:(13,6,0,3,0)
1386:(13,6,1,1,0)
1387:(13,6,1,1,1)
1388:(13,6,1,2,0)
1389:(13,6,1,2,1)
1390:(13,6,1,3,0)
1391:(13,6,1,3,1)
1392:(13,6,2,1,0)
1393:(13,6,2,1,1)
1394:(13,6,2,2,0)
1395:(13,6,2,2,1)
1396:(13,6,2,3,0)
1397:(13,6,2,3,1)
1398:(13,6,3,1,0)
1399:(13,6,3,1,1)
1400:(13,6,3,2,0)
1401:(13,6,3,2,1)
1402:(13,6,3,3,0)
1403:(13,6,3,3,1)
1404:(13,6,4,1,0)
1405:(13,6,4,1,1)
1406:(13,6,4,2,0)
1407:(13,6,4,2,1)
1408:(13,6,4,3,0)
1409:(13,6,4,3,1)
1410:(13,6,5,1,1)
1411:(13,6,5,2,1)
1412:(13,6,5,3,1)
1413:(13,6,6,1,1)
1414:(13,6,6,2,1)
1415:(13,6,6,3,1)
1416:(13,7,-1,2,0)
1417:(13,7,-1,3,0)
1418:(13,7,0,2,0)
1419:(13,7,0,3,0)
1420:(13,7,1,2,0)
1421:(13,7,1,2,1)
1422:(13,7,1,3,0)
1423:(13,7,1,3,1)
1424:(13,7,2,2,0)
1425:(13,7,2,2,1)
1426:(13,7,2,3,0)
1427:(13,7,2,3,1)
1428:(13,7,3,2,0)
1429:(13,7,3,2,1)
1430:(13,7,3,3,0)
1431:(13,7,3,3,1)
1432:(13,7,4,2,0)
1433:(13,7,4,2,1)
1434:(13,7,4,3,0)
1435:(13,7,4,3,1)
1436:(13,7,5,2,1)
1437:(13,7,5,3,1)
1438:(13,7,6,2,1)
1439:(13,7,6,3,1)
1440:(13,8,-1,3,0)
1441:(13,8,0,3,0)
1442:(13,8,1,3,0)
1443:(13,8,1,3,1)
1444:(13,8,2,3,0)
1445:(13,8,2,3,1)
1446:(13,8,3,3,0)
1447:(13,8,3,3,1)
1448:(13,8,4,3,0)
1449:(13,8,4,3,1)
1450:(13,8,5,3,1)
1451:(13,8,6,3,1)
