(pc,x,y,z,f)
227:(6,0,2,1,1)
228:(6,0,2,2,1)
229:(6,0,2,3,1)
230:(6,0,3,1,1)
231:(6,0,3,2,1)
232:(6,0,3,3,1)
233:(6,0,4,1,1)
234:(6,0,4,2,1)
235:(6,0,4,3,1)
236:(6,0,5,1,1)
237:(6,0,5,2,1)
238:(6,0,5,3,1)
239:(6,1,0,1,1)
240:(6,1,0,2,1)
241:(6,1,0,3,1)
242:(6,1,1,1,1)
243:(6,1,1,2,1)
244:(6,1,1,3,1)
245:(6,1,2,1,1)
246:(6,1,2,2,1)
247:(6,1,2,3,1)
248:(6,1,3,1,1)
249:(6,1,3,2,1)
250:(6,1,3,3,1)
251:(6,1,4,1,1)
252:(6,1,4,2,1)
253:(6,1,4,3,1)
254:(6,1,5,1,1)
255:(6,1,5,2,1)
256:(6,1,5,3,1)
257:(6,2,0,1,1)
258:(6,2,0,2,1)
259:(6,2,0,3,1)
260:(6,2,1,1,1)
261:(6,2,1,2,1)
262:(6,2,1,3,1)
263:(6,2,2,1,1)
264:(6,2,2,2,1)
265:(6,2,2,3,1)
266:(6,2,3,1,1)
267:(6,2,3,2,1)
268:(6,2,3,3,1)
269:(6,2,4,1,1)
270:(6,2,4,2,1)
271:(6,2,4,3,1)
272:(6,2,5,1,1)
273:(6,2,5,2,1)
274:(6,2,5,3,1)
275:(6,3,0,1,1)
276:(6,3,0,2,1)
277:(6,3,0,3,1)
278:(6,3,1,1,1)
279:(6,3,1,2,1)
280:(6,3,1,3,1)
281:(6,3,2,1,1)
282:(6,3,2,2,1)
283:(6,3,2,3,1)
284:(6,3,3,1,1)
285:(6,3,3,2,1)
286:(6,3,3,3,1)
287:(6,3,4,1,1)
288:(6,3,4,2,1)
289:(6,3,4,3,1)
290:(6,3,5,1,1)
291:(6,3,5,2,1)
292:(6,3,5,3,1)
293:(6,4,0,1,1)
294:(6,4,0,2,1)
295:(6,4,0,3,1)
296:(6,4,1,1,1)
297:(6,4,1,2,1)
298:(6,4,1,3,1)
299:(6,4,2,1,1)
300:(6,4,2,2,1)
301:(6,4,2,3,1)
302:(6,4,3,1,1)
303:(6,4,3,2,1)
304:(6,4,3,3,1)
305:(6,4,4,1,1)
306:(6,4,4,2,1)
307:(6,4,4,3,1)
308:(6,4,5,1,1)
309:(6,4,5,2,1)
310:(6,4,5,3,1)
311:(6,5,0,1,1)
312:(6,5,0,2,1)
313:(6,5,0,3,1)
314:(6,5,1,1,1)
315:(6,5,1,2,1)
316:(6,5,1,3,1)
317:(6,5,2,1,1)
318:(6,5,2,2,1)
319:(6,5,2,3,1)
320:(6,5,3,1,1)
321:(6,5,3,2,1)
322:(6,5,3,3,1)
323:(6,5,4,1,1)
324:(6,5,4,2,1)
325:(6,5,4,3,1)
326:(6,5,5,1,1)
327:(6,5,5,2,1)
328:(6,5,5,3,1)
329:(7,1,0,1,1)
330:(7,1,1,1,1)
331:(7,1,2,1,1)
332:(7,1,3,1,1)
333:(7,1,4,1,1)
334:(7,1,5,1,1)
335:(7,2,0,1,1)
336:(7,2,0,2,1)
337:(7,2,1,1,1)
338:(7,2,1,2,1)
339:(7,2,2,1,1)
340:(7,2,2,2,1)
341:(7,2,3,1,1)
342:(7,2,3,2,1)
343:(7,2,4,1,1)
344:(7,2,4,2,1)
345:(7,2,5,1,1)
346:(7,2,5,2,1)
347:(7,3,0,1,1)
348:(7,3,0,2,1)
349:(7,3,0,3,1)
350:(7,3,1,1,1)
351:(7,3,1,2,1)
352:(7,3,1,3,1)
353:(7,3,2,1,1)
354:(7,3,2,2,1)
355:(7,3,2,3,1)
356:(7,3,3,1,1)
357:(7,3,3,2,1)
358:(7,3,3,3,1)
359:(7,3,4,1,1)
360:(7,3,4,2,1)
361:(7,3,4,3,1)
362:(7,3,5,1,1)
363:(7,3,5,2,1)
364:(7,3,5,3,1)
365:(7,4,0,1,1)
366:(7,4,0,2,1)
367:(7,4,0,3,1)
368:(7,4,1,1,1)
369:(7,4,1,2,1)
370:(7,4,1,3,1)
371:(7,4,2,1,1)
372:(7,4,2,2,1)
373:(7,4,2,3,1)
374:(7,4,3,1,1)
375:(7,4,3,2,1)
